Consistency of Silhouettes and Their Duals [(0.20899746, 'Points'), (0.65163064, 'Graphic')]
Information Bottleneck Learning Using Privileged Information for Visual Recognition [(0.20567489, 'Points'), (0.6722373, 'Dataset')]
Joint Training of Cascaded CNN for Face Detection [(0.38573182, 'Convolution'), (0.41748318, 'Object Detection')]
A Text Detection System for Natural Scenes With Convolutional Feature Learning and Cascaded Classifi [(0.1998172, 'Dataset'), (0.65138143, 'Object Detection')]
Where to Look  Focus Regions for Visual Question Answering [(0.16285324, 'Object Detection'), (0.7297701, 'Dataset')]
			< [(0.17422739, 'Object Detection'), (0.7262741, 'Dataset')]
Information-Driven Adaptive Structured-Light Scanners [(0.20675506, 'Points'), (0.6292964, 'Graphic')]
Sparsifying Neural Network Connections for Face Recognition [(0.2374807, 'Points'), (0.49982506, 'Convolution')]
ReD-SFA  Relation Discovery Based Slow Feature Analysis for Trajectory Clustering [(0.13104275, 'Object Detection'), (0.50469667, 'Points')]
Learning Deep Structure-Preserving Image-Text Embeddings [(0.14922497, 'Convolution'), (0.5960266, 'Dataset')]
Direct Prediction of 3D Body Poses From Motion Compensated Sequences [(0.2963907, 'Video'), (0.31907827, 'Graphic')]
Gradient-Domain Image Reconstruction Framework With Intensity-Range and Base-Structure Constraints [(0.27710932, 'Points'), (0.47771737, 'Graphic')]
Structure-From-Motion Revisited [(0.20331642, 'Points'), (0.6155307, 'Graphic')]
Event-Specific Image Importance [(0.16839913, 'Video'), (0.69321537, 'Dataset')]
iLab-20M  A Large-Scale Controlled Object Dataset to Investigate Deep Learning [(0.18028362, 'Graphic'), (0.64195997, 'Dataset')]
Min Norm Point Algorithm for Higher Order MRF-MAP Inference [(0.18970177, 'Object Detection'), (0.73388773, 'Points')]
Identifying Good Training Data for Self-Supervised Free Space Estimation [(0.2947231, 'Dataset'), (0.4898133, 'Graphic')]
Human Pose Estimation With Iterative Error Feedback [(0.2527094, 'Graphic'), (0.4691533, 'Convolution')]
Pose-Aware Face Recognition in the Wild [(0.24717885, 'Graphic'), (0.5700745, 'Dataset')]
Deep SimNets [(0.36571214, 'Convolution'), (0.44911197, 'Points')]
Progressive Prioritized Multi-View Stereo [(0.4215132, 'Object Detection'), (0.50573635, 'Graphic')]
Exploit All the Layers  Fast and Accurate CNN Object Detector With Scale Dependent Pooling and Casca [(0.3854803, 'Object Detection'), (0.44836697, 'Convolution')]
Recovering 6D Object Pose and Predicting Next-Best-View in the Crowd [(0.26858553, 'Object Detection'), (0.34760022, 'Graphic')]
Sample-Specific SVM Learning for Person Re-Identification [(0.28565353, 'Points'), (0.39022723, 'Similarity')]
Isometric Non-Rigid Shape-From-Motion in Linear Time [(0.23762324, 'Points'), (0.69567287, 'Graphic')]
Structured Prediction of Unobserved Voxels From a Single Depth Image [(0.24524806, 'Object Detection'), (0.51326597, 'Graphic')]
Learning to Assign Orientations to Feature Points [(0.28127563, 'Similarity'), (0.35218045, 'Graphic')]
Affinity CNN  Learning Pixel-Centric Pairwise Relations for Figure Ground Embedding [(0.17242683, 'Points'), (0.50187033, 'Object Detection')]
Globally Optimal Rigid Intensity Based Registration  A Fast Fourier Domain Approach [(0.4084999, 'Graphic'), (0.51376134, 'Similarity')]
